 ,Area,Mean,Min,Max
304,27,451.111,383,542
305,22,405.818,376,447
306,15,396.667,378,428
307,707,436.487,364,590
308,245,411.216,356,457
309,22,420.591,389,468
310,54,412.778,360,454
311,284,416.461,351,535
312,21,410.476,387,436
313,51,395.745,372,418
314,52,405.231,382,433
315,47,401.702,374,426
316,140,400.414,366,451
317,7,416.714,402,442
318,257,408.152,355,479
319,131,428.313,372,491
320,111,422.613,350,483
321,33,401.848,379,421
322,856,430.353,359,610
323,332,459.307,362,576
324,27,415.333,390,445
325,1054,423.917,355,1093
326,96,441.698,347,691
327,20,405.000,386,415
328,45,416.067,365,450
329,10,406.800,377,423
330,1085,445.102,353,593
331,81,406.926,373,453
332,1564,434.792,348,588
333,6,405.667,397,416
334,78,404.885,354,454
335,25,405.800,384,447
336,9,433.000,391,460
337,60,424.483,370,461
338,133,405.286,362,447
339,2256,441.291,356,607
340,814,427.518,359,565
341,20,409.600,370,444
342,248,427.520,368,507
343,10,422.300,386,446
344,189,411.630,363,509
345,3,400.333,399,402
346,463,437.166,361,561
347,459,446.070,353,560
348,60,404.950,377,449
349,5,424.400,415,442
350,106,416.368,355,464
351,255,407.467,356,462
352,161,414.093,368,483
353,312,407.019,361,474
354,39,404.769,359,448
355,4,402.750,398,409
356,25,415.040,385,442
357,73,415.699,371,486
358,99,418.808,373,466
359,1497,447.752,349,684
360,1315,457.256,343,621
361,77,422.052,359,488
362,26,407.962,389,430
363,15,404.800,389,418
364,1069,431.790,352,563
365,152,409.724,368,465
366,14,407.286,382,434
367,34,436.676,391,478
368,44,414.318,369,470
369,38,405.500,366,443
370,64,400.938,363,436
371,74,426.797,330,800
372,2,430.500,421,440
373,797,470.600,356,838
374,11,398.364,375,424
375,22,408.955,384,434
376,44,435.955,360,522
377,20,431.550,405,464
378,80,404.413,360,444
379,3,457.000,435,471
380,111,420.378,357,495
381,114,422.272,352,489
382,1256,431.189,348,658
383,283,413.417,355,464
384,78,428.051,356,489
385,41,438.122,360,543
386,9,400.556,386,426
387,534,420.760,358,526
388,349,431.169,361,545
389,303,434.548,350,603
390,36,420.722,385,452
391,63,413.651,366,455
392,41,426.122,386,487
393,8,428.875,412,452
394,12,423.250,405,450
395,22,409.682,389,428
396,173,416.607,361,523
397,590,440.442,354,610
398,1181,442.774,347,622
399,50,422.860,384,489
400,7,417.286,408,431
401,6,420.333,414,427
402,407,416.054,362,485
403,26,418.269,372,459
404,269,425.290,344,606
405,978,439.987,363,619
406,39,407.846,384,442
407,30,433.467,388,477
408,38,416.211,392,435
409,66,422.197,374,489
410,521,432.545,359,594
411,144,424.188,365,503
412,334,421.066,362,516
413,89,435.393,365,509
414,46,411.891,374,444
415,372,418.570,352,948
416,98,415.755,372,501
417,93,425.624,363,516
418,186,429.387,352,544
419,6,416.167,405,425
420,34,405.971,371,427
421,81,418.309,376,469
422,99,400.192,361,433
423,16,417.562,393,440
424,20,422.250,391,455
425,43,410.488,370,452
426,65,421.046,352,499
427,572,425.271,359,528
428,26,410.154,386,436
429,30,422.433,386,458
430,112,416.152,361,479
431,76,431.776,355,629
432,44,405.636,376,432
433,27,427.370,391,477
434,31,423.742,362,459
435,58,416.914,369,468
436,52,447.923,369,539
437,8,397.750,394,403
438,337,428.864,338,523
439,1,432.000,432,432
440,18,400.556,358,441
441,7,397.857,386,418
442,29,415.655,385,454
443,37,417.865,369,451
444,9,425.222,409,448
445,23,429.391,384,469
446,7,408.714,393,416
447,3,419.000,409,438
448,4,434.250,415,449
449,4238,577.628,461,984
450,7,530.286,506,569
451,26,510.577,488,528
452,165,521.952,465,630
453,29,507.448,482,533
454,55,518.091,471,558
455,94,511.223,468,566
456,75,514.760,481,562
457,120,521.875,451,595
458,96,515.292,474,583
459,340,531.138,467,660
460,150,518.547,467,584
461,148,519.838,471,617
462,1185,570.906,445,921
463,14,546.214,489,671
464,162,527.000,466,630
465,155,518.394,466,597
466,61,551.262,449,653
467,466,529.573,463,680
468,4,525.500,511,542
469,107,519.841,471,576
470,38,509.316,466,545
471,219,516.758,469,596
472,221,528.633,468,838
473,45,534.800,487,591
474,1341,541.468,446,727
475,110,530.418,478,643
476,349,550.840,468,702
477,278,531.975,457,654
478,7,512.286,490,526
479,108,517.778,478,569
480,100,540.890,470,666
481,311,540.241,461,698
482,216,526.954,450,645
483,136,515.890,470,567
484,626,526.816,460,735
485,285,521.302,460,603
486,398,545.123,460,672
487,349,534.513,457,624
488,146,514.075,473,565
489,1952,584.933,451,808
490,105,514.743,478,549
491,278,515.101,457,612
492,496,538.258,455,720
493,450,534.813,473,662
494,224,539.759,477,631
495,263,528.190,454,616
496,175,508.074,460,592
497,103,548.417,466,678
