 ,Area,Mean,Min,Max
230,31,523.226,495,559
231,203,530.236,458,639
232,12,535.250,517,561
233,74,566.446,461,676
234,256,578.344,462,779
235,101,541.525,471,643
236,943,933.924,445,1569
237,697,609.571,458,968
238,171,534.363,469,604
239,52,530.442,480,580
240,50,512.140,459,559
241,242,545.149,450,783
242,2423,661.989,437,1226
243,161,535.783,452,662
244,67601,737.793,283,2912
245,1129,669.329,468,1535
246,4,530.250,513,552
247,328,539.290,472,651
248,207,537.671,458,665
249,1697,603.527,456,1147
250,4787,577.046,452,1035
251,44,537.750,474,599
252,4460,585.044,444,1269
253,248,580.238,445,789
254,2756,603.896,464,997
255,173,532.237,462,660
256,47,539.702,488,595
257,3333,576.304,454,878
258,59,553.220,486,645
259,13,531.846,491,575
260,757,533.312,455,906
261,110,531.855,472,596
262,1303,591.259,457,832
263,129,533.256,445,879
264,241,524.722,470,600
265,2817,659.743,432,1203
266,18,529.556,512,548
267,136,517.360,467,580
268,70,525.929,480,585
269,11,534.455,509,568
270,64,532.312,457,616
271,5702,571.524,441,1304
272,4587,583.591,447,987
273,372,531.696,452,638
274,2150,569.353,449,1078
275,25,546.160,503,590
276,6054,576.584,443,971
277,80,537.388,457,681
278,206,530.976,473,634
279,135,645.407,444,960
280,156,537.551,444,707
281,361,551.241,466,651
282,171,526.637,453,641
283,6833,1858.398,409,4095
284,81,531.531,477,588
285,4595,686.915,467,1450
286,11,529.909,488,584
287,247,750.401,438,1218
288,216,530.125,466,607
289,34,535.029,496,582
290,7090,575.515,449,1015
291,1558,672.678,446,1094
292,42,541.905,483,605
293,32,545.500,504,592
294,29,515.897,469,559
295,41,528.171,470,602
296,22,535.864,501,571
297,226,519.363,457,584
298,11,536.273,523,548
299,8,558.375,525,582
300,1069,549.885,437,956
301,932,564.211,435,958
302,62,524.677,472,590
303,2394,649.799,452,1098
304,7,527.286,513,548
305,85,553.729,472,623
306,30559,724.787,447,1892
307,130,545.846,464,647
308,92,553.185,470,644
309,7326,650.092,443,1437
310,907,605.089,463,832
311,2564,556.303,446,818
312,277,556.606,463,673
313,6,531.500,508,553
314,711,548.679,460,807
315,5007,1837.039,368,4095
316,336,536.188,450,700
317,596,529.230,451,659
318,137,528.810,457,605
319,380,557.405,434,772
320,270,538.133,448,675
321,99,562.162,477,685
322,16,569.750,473,726
323,451,705.701,455,1983
324,580,564.524,447,817
325,305,1024.472,400,2752
326,239,517.431,453,591
327,570,527.877,447,720
328,906,546.647,456,784
329,9,525.444,500,560
330,2309,570.502,415,898
331,202,524.569,463,628
332,2884,556.761,432,903
333,68,519.191,465,590
334,211,634.318,428,957
335,2944,603.505,445,1246
336,2765,561.637,438,834
337,2428,635.030,454,1190
338,2004,666.488,435,1203
339,53,552.434,466,633
340,2779,556.968,438,916
341,5,530.600,514,542
342,17,566.059,528,608
343,256,1085.750,368,2321
344,505,547.428,456,776
345,184,566.647,467,680
346,3386,1755.853,383,4095
347,69,526.000,458,588
348,543,546.847,445,753
349,361,576.934,451,743
350,14,515.786,495,543
351,281,522.206,452,825
352,1361,569.597,450,1002
353,227,547.815,446,753
354,109,547.761,457,646
355,8,509.000,472,546
356,1830,723.705,446,1465
357,1559,541.088,435,713
358,142,532.725,453,767
359,116,618.345,457,886
360,254,543.177,443,891
361,223,535.614,444,659
362,373,560.499,441,748
363,1771,631.822,452,1156
364,718,541.474,445,666
365,778,570.172,435,959
366,35,567.486,478,823
367,307,539.664,447,680
368,119,527.798,460,613
369,31,566.516,511,602
370,1167,666.991,447,1134
371,199,537.950,468,650
372,31,546.452,474,625
373,269,532.026,457,721
374,191,541.455,432,769
375,926,552.901,445,751
376,150,550.800,457,756
377,161,569.311,438,821
378,4685,739.046,284,1858
379,386,642.168,469,904
380,100,526.280,488,602
381,427,548.974,447,764
382,567,540.074,433,720
383,468,537.188,442,704
384,359,553.189,446,773
385,49,572.143,455,708
386,428,569.016,446,784
387,114,559.561,430,1192
388,121,574.397,447,796
389,179,526.883,448,599
390,1419,556.110,438,855
391,2800,585.236,422,1297
392,143,547.350,454,1075
393,86,531.628,443,615
394,6049,680.109,442,1439
395,120,538.975,473,631
396,307,553.912,461,730
397,660,548.226,444,762
398,82,514.634,444,577
399,86,507.907,461,571
400,116,528.638,464,617
401,224,547.951,451,876
402,78,517.231,469,593
403,281,547.356,445,741
404,611,555.899,448,774
405,1109,618.963,445,943
406,41,520.073,476,568
407,681,524.730,446,668
408,387,565.685,446,734
409,79,516.709,461,583
410,46,539.174,470,613
411,196,554.464,480,667
412,354,529.088,438,684
413,97,542.330,464,649
414,663,557.842,447,961
415,71,543.155,483,616
416,604,552.041,447,798
417,673,543.434,452,706
418,1137,546.741,443,740
419,371,571.914,446,777
420,121,532.240,454,734
421,106,540.000,458,629
422,613,562.181,464,803
423,174,533.586,457,697
424,20,527.000,500,554
425,318,549.544,430,712
426,50,525.620,485,567
427,3051,658.913,437,1473
428,177,527.271,451,597
429,193,527.565,461,653
430,35,525.000,477,563
431,6135,716.158,305,1825
432,77,568.792,502,681
433,289,570.298,450,834
434,241,561.062,442,1208
435,149,544.651,462,638
436,155,527.045,470,612
437,108,528.565,445,643
438,185,533.016,451,652
439,29,542.207,508,582
440,225,524.236,461,600
441,537,539.024,452,706
442,1347,552.912,455,963
443,1866,601.592,445,1133
444,140,535.779,462,646
445,94,517.670,474,578
446,75,541.133,458,701
447,142,546.549,447,646
448,371,534.876,445,720
449,1117,594.661,445,1047
450,143,533.510,460,619
451,68,525.118,453,614
452,203,626.246,456,907
453,57,536.807,479,651
454,49,557.122,454,645
455,57,522.211,473,567
456,40,541.150,442,629
457,24,533.875,488,577
458,93,549.258,459,648
459,220,531.836,472,620
460,389,561.638,437,796
461,267,544.693,436,667
462,607,615.868,447,892
463,10,520.800,488,544
464,13,535.923,515,566
465,751,555.988,445,772
466,509,535.342,442,699
467,24,538.167,484,579
468,73,533.589,450,656
469,10,551.400,516,576
470,228,526.105,442,626
471,209,546.861,458,808
472,1544,569.996,449,804
473,149,541.564,459,685
474,60,538.900,478,594
475,524,563.788,449,1104
476,971,536.164,458,704
477,105,530.010,455,672
478,611,550.421,447,685
479,1664,619.263,445,1055
480,16,516.938,499,543
481,588,632.039,455,852
482,6,534.167,512,562
483,208,537.038,459,643
484,156,538.500,455,646
485,365,582.425,454,773
486,9,523.444,486,570
487,351,535.074,450,677
488,358,543.754,443,690
489,127,532.969,460,616
490,143,561.657,440,1040
491,97,553.495,448,671
492,264,545.943,464,652
493,177,547.328,460,741
494,38,527.579,500,566
495,139,520.619,459,622
496,150,544.040,447,698
497,127,531.787,470,604
498,3,553.000,540,576
499,178,541.798,473,648
500,137,560.964,447,708
501,33,534.970,468,844
502,1,496.000,496,496
503,31,522.613,478,555
504,31,525.032,493,575
