 ,Area,Mean,Min,Max
1,4238,577.628,461,984
2,7,530.286,506,569
3,26,510.577,488,528
4,165,521.952,465,630
5,29,507.448,482,533
6,55,518.091,471,558
7,94,511.223,468,566
8,75,514.760,481,562
9,120,521.875,451,595
10,96,515.292,474,583
11,340,531.138,467,660
12,150,518.547,467,584
13,148,519.838,471,617
14,1185,570.906,445,921
15,14,546.214,489,671
16,162,527.000,466,630
17,155,518.394,466,597
18,61,551.262,449,653
19,466,529.573,463,680
20,4,525.500,511,542
21,107,519.841,471,576
22,38,509.316,466,545
23,219,516.758,469,596
24,221,528.633,468,838
25,45,534.800,487,591
26,1341,541.468,446,727
27,110,530.418,478,643
28,349,550.840,468,702
29,278,531.975,457,654
30,7,512.286,490,526
31,108,517.778,478,569
32,100,540.890,470,666
33,311,540.241,461,698
34,216,526.954,450,645
35,136,515.890,470,567
36,626,526.816,460,735
37,285,521.302,460,603
38,398,545.123,460,672
39,349,534.513,457,624
40,146,514.075,473,565
41,1952,584.933,451,808
42,105,514.743,478,549
43,278,515.101,457,612
44,496,538.258,455,720
45,450,534.813,473,662
46,224,539.759,477,631
47,263,528.190,454,616
48,175,508.074,460,592
49,103,548.417,466,678
50,291,518.718,467,586
51,295,534.725,466,658
52,759,557.556,454,962
53,685,543.150,455,746
54,101,511.050,475,552
55,195,514.487,470,578
56,273,524.407,471,613
57,72,514.472,471,576
58,281,525.961,467,604
59,32,507.219,477,537
60,720,573.865,440,913
61,24,504.000,480,528
62,5861,585.525,449,2011
63,176,520.648,458,638
64,150,530.233,469,628
65,243,532.247,469,880
66,14,526.429,487,561
67,26,510.308,483,539
68,399,540.138,461,670
69,9329,601.474,463,1124
70,208,525.500,454,614
71,3892,567.957,469,808
72,395,524.795,462,627
73,8,506.625,491,517
74,126,529.095,461,634
75,557,520.127,456,626
76,159,537.755,458,659
77,54,517.722,474,558
78,99,547.455,466,676
79,349,539.060,462,662
80,125,534.176,470,671
81,142,545.768,442,649
82,187,526.273,459,609
83,151,543.490,432,696
84,518,536.286,455,746
85,127,512.024,471,562
86,223,551.870,457,817
87,32,528.438,492,576
88,130,538.400,467,649
89,207,529.203,478,587
90,138,540.536,461,646
91,154,522.929,475,600
92,1241,555.645,449,845
93,107,520.112,474,609
94,235,551.528,463,1741
95,57,519.579,468,571
96,99,527.424,465,598
97,243,545.247,461,707
98,61,523.541,482,568
99,246,558.687,440,820
100,15,515.933,491,534
101,73,530.740,473,590
102,10,532.600,493,599
103,297,520.519,469,636
104,3741,597.760,450,972
105,3401,606.055,480,870
106,48,518.104,472,593
107,110,536.018,475,608
108,56,506.429,470,539
109,145,535.607,467,609
110,18,511.056,479,545
111,100,542.010,465,629
112,76,553.645,481,677
113,2157,577.661,452,791
114,631,575.685,443,826
115,469,543.456,459,717
116,250,528.524,470,624
117,837,532.632,446,702
118,346,548.916,447,926
119,43732,631.917,448,1469
120,6,514.833,494,540
121,46,519.870,481,552
122,383,538.141,470,645
123,160,517.469,473,562
124,74,522.014,471,565
125,627,552.188,454,711
126,104,525.462,484,625
127,82,552.390,468,658
128,272,533.165,463,672
129,22,527.955,503,557
130,478,539.845,465,1286
131,41,518.512,466,650
132,38,518.447,478,556
133,511,541.691,446,705
134,70,527.843,472,584
135,5,500.200,465,536
136,78,537.244,443,661
137,2,522.500,514,531
138,169,556.166,481,650
139,1109,589.218,462,791
140,89,513.337,483,544
141,425,542.678,463,695
142,17845,590.929,450,1152
143,331,558.716,449,710
144,200,577.780,459,750
145,263,559.392,450,699
146,6,513.667,504,520
147,319,531.050,450,635
148,215,516.581,473,572
149,178,540.753,445,661
150,29,525.517,488,565
151,220,554.782,470,632
152,77,523.675,467,572
153,149,518.027,465,565
154,3,523.667,511,536
155,17,513.941,476,539
156,288,582.052,468,713
157,51,519.549,482,582
158,44,536.659,488,613
159,34,539.618,499,602
160,95,503.747,461,538
161,285,580.993,468,775
162,2,520.500,516,525
163,132,517.477,456,580
164,1328,543.945,450,776
165,19,523.579,486,551
166,549,570.058,456,916
167,188,524.271,464,633
168,110,517.445,474,598
169,13,520.692,499,552
170,300,527.170,467,594
171,338,552.787,452,673
172,76,543.776,457,677
173,53,534.170,488,588
174,181,518.729,462,605
175,6584,605.120,416,1045
176,2,506.000,496,516
177,278,521.914,465,595
178,192,524.068,469,579
179,952,559.179,456,913
180,85852,739.962,304,2980
181,417,546.640,467,658
182,52,537.327,483,596
183,127,526.677,475,595
184,2,498.500,495,502
185,28,541.607,487,587
186,147,550.408,455,633
187,74,534.000,457,617
188,139,537.784,471,620
189,17709,586.799,452,1079
190,11,510.727,489,530
191,106,535.330,454,629
192,70,534.629,457,580
193,165,522.655,473,579
194,94,526.596,456,614
195,532,531.697,465,660
196,294,529.306,462,623
197,3311,694.978,444,1065
198,18,508.000,491,532
199,88,543.364,466,761
200,1134,581.789,442,1509
201,205,531.454,467,625
202,74,531.041,471,630
203,692,556.613,452,969
204,27,526.778,493,551
205,19,513.684,486,548
206,33,513.697,473,549
207,29,534.724,497,628
208,183,565.027,458,757
209,37,516.946,482,566
210,37,519.757,488,564
211,24,523.333,488,561
212,88,563.125,450,745
213,21,549.333,523,581
214,420,519.943,456,629
215,305,557.607,456,780
216,266,520.350,466,592
217,861,636.587,452,957
218,380,540.158,462,693
219,748,537.865,464,668
220,3465,707.278,440,1427
221,451,536.430,458,673
222,214,535.537,463,632
223,11959,594.305,459,1313
224,725,578.421,455,817
225,108,524.574,466,608
226,116,588.319,456,737
227,7412,584.751,453,917
228,9,530.111,481,569
229,26,506.269,479,527
